token_id,name,image_url,user,region,x_coordinate,y_coordinate,landmark,tier,fuels,solon,carbon,crypton,silicon,elements,hydrogen,hyperion
35864,"Shardbluff Labyrinth (821,302)",https://assets.illuvium-game.io/illuvidex/land/land-35864.svg,0xcdfc858ba72979c473ca2c6a6c62c98dbeaf8ae9,Shardbluff Labyrinth,821,302,None,1,1,1,1,0,1,3,1,0
90297,"Halcyon Sea (579,500)",https://assets.illuvium-game.io/illuvidex/land/land-90297.svg,0xd0e01db197e5c14bae75c2bad1aaec014c46c18f,Halcyon Sea,579,500,None,1,1,0,1,1,1,3,1,0
60237,"Crimson Waste (641,364)",https://assets.illuvium-game.io/illuvidex/land/land-60237.svg,0xd0e01db197e5c14bae75c2bad1aaec014c46c18f,Crimson Waste,641,364,None,1,1,1,1,0,1,3,1,0
12512,"Taiga Boreal (202,275)",https://assets.illuvium-game.io/illuvidex/land/land-12512.svg,0xd0e01db197e5c14bae75c2bad1aaec014c46c18f,Taiga Boreal,202,275,None,1,1,0,1,1,1,3,1,0
13124,"Taiga Boreal (200,281)",https://assets.illuvium-game.io/illuvidex/land/land-13124.svg,0xd0e01db197e5c14bae75c2bad1aaec014c46c18f,Taiga Boreal,200,281,None,1,1,0,1,0,1,3,1,1
23718,"Crystal Shores (665,489)",https://assets.illuvium-game.io/illuvidex/land/land-23718.svg,0x5269532061b509ac0be1ca73f2b2fdf00f68478e,Crystal Shores,665,489,None,1,1,0,2,1,1,3,0,0
45609,"Abyssal Basin (144,353)",https://assets.illuvium-game.io/illuvidex/land/land-45609.svg,0x5269532061b509ac0be1ca73f2b2fdf00f68478e,Abyssal Basin,144,353,None,1,1,0,0,0,2,3,1,1
76840,"Brightland Steppes (559,311)",https://assets.illuvium-game.io/illuvidex/land/land-76840.svg,0x5269532061b509ac0be1ca73f2b2fdf00f68478e,Brightland Steppes,559,311,None,1,1,0,0,0,2,3,1,1
12111,"Taiga Boreal (229,271)",https://assets.illuvium-game.io/illuvidex/land/land-12111.svg,0xaa434c5795db4400cfe1184722d8c1cb32202e36,Taiga Boreal,229,271,None,1,1,0,1,0,1,3,1,1
69339,"Crimson Waste (579,433)",https://assets.illuvium-game.io/illuvidex/land/land-69339.svg,0xaa434c5795db4400cfe1184722d8c1cb32202e36,Crimson Waste,579,433,None,1,1,0,1,0,1,3,1,1
36281,"Shardbluff Labyrinth (797,305)",https://assets.illuvium-game.io/illuvidex/land/land-36281.svg,0xaa434c5795db4400cfe1184722d8c1cb32202e36,Shardbluff Labyrinth,797,305,None,1,1,0,1,0,1,3,1,1
37255,"Shardbluff Labyrinth (729,312)",https://assets.illuvium-game.io/illuvidex/land/land-37255.svg,0xe4bec9a52520b93108dd3bf59c1e0ea8da73bf54,Shardbluff Labyrinth,729,312,None,1,1,0,1,0,1,3,1,1
47692,"Abyssal Basin (230,368)",https://assets.illuvium-game.io/illuvidex/land/land-47692.svg,0xe4bec9a52520b93108dd3bf59c1e0ea8da73bf54,Abyssal Basin,230,368,None,1,1,1,1,0,1,3,1,0
5127,"Taiga Boreal (223,193)",https://assets.illuvium-game.io/illuvidex/land/land-5127.svg,0xe4bec9a52520b93108dd3bf59c1e0ea8da73bf54,Taiga Boreal,223,193,None,1,1,0,1,1,1,3,1,0
47493,"Abyssal Basin (187,367)",https://assets.illuvium-game.io/illuvidex/land/land-47493.svg,0xe4bec9a52520b93108dd3bf59c1e0ea8da73bf54,Abyssal Basin,187,367,None,1,1,1,1,0,1,3,1,0
98439,"Halcyon Sea (584,560)",https://assets.illuvium-game.io/illuvidex/land/land-98439.svg,0x6a377b7b348abe073f0e0dfadc97c38a00c03391,Halcyon Sea,584,560,None,1,1,0,1,1,1,3,1,0
94044,"Halcyon Sea (611,528)",https://assets.illuvium-game.io/illuvidex/land/land-94044.svg,0x5269532061b509ac0be1ca73f2b2fdf00f68478e,Halcyon Sea,611,528,None,1,1,0,0,0,1,3,2,1
98208,"Halcyon Sea (579,558)",https://assets.illuvium-game.io/illuvidex/land/land-98208.svg,0x6a377b7b348abe073f0e0dfadc97c38a00c03391,Halcyon Sea,579,558,None,1,1,1,1,0,1,3,1,0
63706,"Crimson Waste (642,387)",https://assets.illuvium-game.io/illuvidex/land/land-63706.svg,0x5269532061b509ac0be1ca73f2b2fdf00f68478e,Crimson Waste,642,387,None,1,1,0,0,0,1,3,2,1
47189,"Abyssal Basin (190,365)",https://assets.illuvium-game.io/illuvidex/land/land-47189.svg,0x6a377b7b348abe073f0e0dfadc97c38a00c03391,Abyssal Basin,190,365,None,1,1,0,1,1,1,3,1,0
91070,"Halcyon Sea (577,506)",https://assets.illuvium-game.io/illuvidex/land/land-91070.svg,0x6a377b7b348abe073f0e0dfadc97c38a00c03391,Halcyon Sea,577,506,None,1,1,0,1,0,1,3,1,1
